,consumption_small,consumption_industry,consumption_power,heating_profiles,manufacturing_idx,hospitality_idx,retail_idx,wages,price_industry_idx,price_households_idx,solar_radiation,temperature,time,month
2017-01-31,,50.475210322292,19.639095155708,74.96982566160406,94.1,82.6,96.1,,,,4.15792269005871e-11,271.42103913417435,0.0,1
2017-02-28,,41.431516562782,13.395560994218002,50.154577429657884,97.3,83.3,92.0,,,,6.758699897541047e-11,276.65535634890267,1.0,2
2017-03-31,,40.322864789281994,11.853823649718002,38.79633808800368,115.6,97.5,108.1,100.3,,,1.2270370818502546e-10,280.8748413958195,2.0,3
2017-04-30,,36.390162747702,9.596491288298001,36.18773550422109,95.2,99.2,104.0,107.0,,,1.7787649583555128e-10,280.91252033705933,3.0,4
2017-05-31,,33.176844572520004,8.881301549479998,17.306122737107607,106.6,110.1,107.3,107.0,,,2.1541438935779067e-10,287.6814515727219,4.0,5
2017-06-30,,29.75504306847,7.062890372529999,7.897022564994368,105.7,109.2,104.7,107.0,,,2.3315312804036064e-10,291.400469885309,5.0,6
2017-07-31,,31.22986034975,7.850179891250002,8.058608001592303,100.7,113.0,104.5,98.9,,,2.070328237435259e-10,291.59619401479097,6.0,7
2017-08-31,,30.487749337286,6.665620054713999,8.185690505966077,102.2,109.5,103.1,98.9,,,1.8419107562298843e-10,291.2671957452098,7.0,8
2017-09-30,,33.506270446002,8.604587716998001,17.18696388622682,109.2,114.5,104.6,98.9,,,1.2734910033167283e-10,286.23133042487746,8.0,9
2017-10-31,,37.580617790904,9.546655415096,22.85174502396668,102.2,109.0,104.0,112.5,,,7.51004760472127e-11,284.626206489329,9.0,10
2017-11-30,,42.66782499563,14.336446191370001,45.6405721808731,116.6,95.6,113.3,112.5,,,3.548428885470255e-11,278.51977374879715,10.0,11
2017-12-31,,44.86713014674,14.099502946260001,57.74579971253677,100.0,105.1,124.8,112.5,,,2.3920188398941653e-11,276.14493809476903,11.0,12
2018-01-31,59.218518968,45.363805058338,13.697644013662002,52.14449625160617,100.9,85.4,98.7,101.6,93.1,92.7,3.092269828057945e-11,277.36608429600864,12.0,1
2018-02-28,68.355883363,44.942730361566,16.027638655434,65.68216561273671,99.6,84.2,93.4,101.6,91.3,92.6,8.101441741795258e-11,271.6676400986565,13.0,2
2018-03-31,60.475723384000005,44.981425320024,13.745536551975999,57.98472257212518,112.0,96.1,110.5,101.6,92.2,92.5,1.1447406348207205e-10,276.1156180924473,14.0,3
2018-04-30,21.951214403999998,34.206241836336,6.942779998663998,20.127385267950995,104.6,102.4,106.4,107.8,94.7,92.5,2.0279065308146914e-10,285.89878059778295,15.0,4
2018-05-31,11.591100202999998,32.53639693631,5.33892232669,12.015015320030885,103.7,108.3,106.7,107.8,95.2,92.5,2.4712174725666404e-10,289.5121347885012,16.0,5
2018-06-30,7.817703989,30.755169637465997,6.258172506534001,8.272114748644753,112.1,111.0,109.0,107.8,96.8,91.9,2.2101382504840113e-10,291.16624041572953,17.0,6
2018-07-31,6.556920608999999,30.180664785229997,7.708746444770001,6.541186278843586,104.9,113.2,106.4,100.6,97.7,91.9,2.571014027737899e-10,293.9834213035303,18.0,7
2018-08-31,6.511190513,30.088284117927998,8.707180299072,6.921690507936474,101.5,112.2,105.5,100.6,98.5,91.8,2.0496968925733425e-10,293.3814424189005,19.0,8
2018-09-30,11.627820698000003,31.878754948039997,6.842594362960001,12.906044263467022,104.9,116.0,101.8,100.6,101.4,91.8,1.4834538294890447e-10,288.56971901830735,20.0,9
2018-10-31,27.027405587000004,37.871994470254,9.782329214745998,25.4647547273007,110.3,110.0,110.8,114.0,106.2,91.8,9.155105160808301e-11,284.2972914560612,21.0,10
2018-11-30,48.09926122199999,41.71968309097,14.05310429803,44.816096976109385,111.6,99.8,116.1,114.0,108.1,91.9,4.865304527159485e-11,278.7653917457465,22.0,11
2018-12-31,58.097608036000004,42.528759454944,14.002720091055998,52.34580865691932,93.4,106.6,123.5,114.0,105.9,92.0,2.3004400614220856e-11,277.35206707134375,23.0,12
2019-01-31,69.964973864,48.198513489468,17.626512434532,64.51442151594543,98.4,86.0,102.8,102.8,104.1,94.6,3.312678797167113e-11,274.08608887216894,24.0,1
2019-02-28,51.651404975,40.345596324674,13.362918190326,47.19757345315545,100.3,87.7,98.2,102.8,103.4,94.8,8.036727582134976e-11,277.58024351820524,25.0,2
2019-03-31,46.035985851999996,41.159013905942,10.764108889058,41.205286598055224,108.8,99.9,109.6,102.8,98.8,95.0,1.0948363378699585e-10,280.0969832032453,26.0,3
2019-04-30,28.595832658000006,35.877277909654,9.143773148346002,28.863371761778357,102.1,101.4,113.0,109.3,96.4,95.5,1.9672754704206564e-10,283.1245101555206,27.0,4
2019-05-31,23.993855435000004,35.673559297904,8.990960526096,25.382949944338232,106.7,109.7,111.3,109.3,92.8,95.6,2.0279698461410135e-10,284.3906793892362,28.0,5
2019-06-30,7.466165143,29.667574339954,7.9278416200459985,6.804205687648346,97.2,112.0,107.7,109.3,89.2,95.7,2.6630985145659923e-10,293.1803696761552,29.0,6
2019-07-31,7.549174134999999,30.570436820883998,10.108903087116,7.784737707288601,105.8,112.3,112.7,102.7,85.2,95.9,2.3191703596633135e-10,292.4676839325134,30.0,7
2019-08-31,7.067816110999999,29.542461814055997,9.698826647944,7.24236267040493,94.6,113.1,109.2,102.7,83.1,96.0,1.9831301149874222e-10,292.50016933422353,31.0,8
2019-09-30,13.176735815,32.254348386375995,10.470510598624003,13.685004960120168,105.1,114.2,105.9,102.7,83.2,96.1,1.3537823558295926e-10,287.531668541741,32.0,9
2019-10-31,27.93575174,37.017657037934,13.611898945066,24.138511964929315,105.8,111.1,113.4,114.9,83.2,96.5,7.692857202621877e-11,284.327804913864,33.0,10
2019-11-30,49.75661240000001,41.371473233825995,14.570645823174003,45.876630101288754,105.4,101.8,119.8,114.9,84.1,96.6,4.026162732936967e-11,278.5681315940176,34.0,11
2019-12-31,58.78250771500001,42.763777740858,13.443799366141997,52.78556144145699,90.2,106.7,126.5,114.9,88.4,96.8,2.8358614739877206e-11,277.21378918327343,35.0,12
2020-01-31,61.02500884199999,45.522549672352,16.334156400648002,54.69949594539759,95.1,86.5,105.5,102.9,85.8,97.0,3.507000856655208e-11,276.90382748478146,36.0,1
2020-02-29,51.583405116,41.75599999833,12.331680698669999,43.391061187168525,98.1,88.4,104.6,102.9,80.7,97.1,6.091422849474388e-11,278.7390297268162,37.0,2
2020-03-31,48.577903613,41.952235881107995,12.390569356892001,45.97589082550888,100.5,54.7,111.1,102.9,75.5,97.2,1.3040758980308266e-10,278.83767569944325,38.0,3
2020-04-30,24.903369360000003,32.468711117264,8.813010383736,25.73967996436203,70.5,25.5,107.1,104.0,71.5,97.2,2.2564670508612744e-10,284.09903231506826,39.0,4
2020-05-31,19.484942412,32.337010555506,8.950763549493999,21.131892770098347,76.5,40.4,116.6,104.0,68.9,97.2,2.2915506145773481e-10,285.5410916370273,40.0,5
2020-06-30,9.837333336999999,29.43517080436,11.03691994064,9.658037908733027,91.2,66.0,115.4,104.0,65.7,97.1,2.2202595919089763e-10,290.34547369344637,41.0,6
2020-07-31,8.490363573,30.259165912944,11.828412796056,8.259459089803203,94.9,84.8,119.3,101.8,64.7,95.1,2.154147523980818e-10,291.20956034170797,42.0,7
2020-08-31,6.945391177999999,29.796187236274,10.860221743726,6.858244579753195,81.8,90.2,113.1,101.8,64.2,95.3,1.9403731359664155e-10,293.5205506734872,43.0,8
2020-09-30,12.429978857,32.124964913328,10.506403960671998,12.670747211937282,100.7,89.0,114.5,101.8,68.6,95.1,1.4510761091422975e-10,288.38459122228113,44.0,9
2020-10-31,31.661840301000005,39.0039467461,11.326134060900001,27.427520696048575,102.8,77.2,124.7,115.1,74.5,95.1,6.673488528263608e-11,283.5618977890756,45.0,10
2020-11-30,44.916553453,41.901930509955996,15.221872733044002,40.547572347291954,105.7,33.3,127.9,115.1,79.6,94.8,4.582531019945548e-11,279.6586449252414,46.0,11
2020-12-31,60.474580051,44.008053589156,17.356485551844003,55.640397473897394,94.0,31.2,133.7,115.1,82.5,94.9,2.422850513004251e-11,276.58694710252377,47.0,12
2021-01-31,70.49180020899999,48.424057643362,18.565117907638,64.77413287583455,85.8,32.2,95.8,100.7,94.7,98.9,3.075670795423073e-11,274.1483197422204,48.0,1
