,slp,industry,gas_to_electricity_public,aggregated,manufacturing_sector,hospitality_sector,retail_sector,real_wages,price_industry,price_households,solar,temperature,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,long_weekend
2017-01-01,,1.3841647269299808,0.2892775960700191,2.346911148909038,94.1,82.6,96.1,,,,3.847940811767395e-11,271.6185646685567,2017-01-01,0.0,2017,1,Sunday,6,0,0,1,0,1,0
2017-01-02,,1.5677475120205646,0.4882956069794353,2.3513081618258975,94.1,82.6,96.1,,,,2.7726454469508765e-11,272.7353009382808,2017-01-02,1.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-03,,1.6272514152419653,0.40284387575803454,2.239904648403602,94.1,82.6,96.1,,,,2.2771823862634448e-11,273.91645086501865,2017-01-03,2.0,2017,1,Tuesday,1,0,0,0,0,0,0
2017-01-04,,1.6954285741649304,0.41333050483506995,2.128919904166301,94.1,82.6,96.1,,,,2.4116185626882948e-11,274.8670949963656,2017-01-04,3.0,2017,1,Wednesday,2,0,0,0,0,0,0
2017-01-05,,1.6799817870048843,0.6780220349951154,2.384373334262344,94.1,82.6,96.1,,,,4.4122739852604496e-11,270.24065996910366,2017-01-05,4.0,2017,1,Thursday,3,0,0,0,0,0,0
2017-01-06,,1.675933767440954,0.7143042695590456,2.759873741604935,94.1,82.6,96.1,,,,4.730927762050634e-11,265.1105214588505,2017-01-06,5.0,2017,1,Friday,4,0,1,0,0,1,0
2017-01-07,,1.6431196468471139,0.49133131415288595,2.7566658524174565,94.1,82.6,96.1,,,,2.5037648251103045e-11,267.1425078368666,2017-01-07,6.0,2017,1,Saturday,5,0,0,1,0,0,0
2017-01-08,,1.567257014205032,0.48437580279496784,2.5383535767027943,94.1,82.6,96.1,,,,1.8162040627916887e-11,272.3183264022924,2017-01-08,7.0,2017,1,Sunday,6,0,0,1,0,0,0
2017-01-09,,1.6101597847773232,0.7620547312226773,2.4234099288470357,94.1,82.6,96.1,,,,2.495273886927782e-11,273.1583582108878,2017-01-09,8.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-10,,1.5418275030330135,0.8220191709669863,2.3118078126371566,94.1,82.6,96.1,,,,3.137431811724602e-11,272.91069258151424,2017-01-10,9.0,2017,1,Tuesday,1,0,0,0,0,0,0
2017-01-11,,1.6571004396724007,0.5220928833275991,2.1600074969286096,94.1,82.6,96.1,,,,2.2076739958330193e-11,274.3577643258991,2017-01-11,10.0,2017,1,Wednesday,2,0,0,0,0,0,0
2017-01-12,,1.63870451368374,0.4776535033162601,1.9936187962347038,94.1,82.6,96.1,,,,3.184584118784118e-11,276.40401940329565,2017-01-12,11.0,2017,1,Thursday,3,0,0,0,0,0,0
2017-01-13,,1.6544223711954567,0.46612993780454315,2.037721863850379,94.1,82.6,96.1,,,,3.172281303934243e-11,274.2806906117484,2017-01-13,12.0,2017,1,Friday,4,0,1,0,0,0,0
2017-01-14,,1.536654690264729,0.34756211973527096,2.0602199690818166,94.1,82.6,96.1,,,,3.850704998403648e-11,273.6094799456704,2017-01-14,13.0,2017,1,Saturday,5,0,0,1,0,0,0
2017-01-15,,1.6330827113805673,0.3750995676194323,2.201830673315638,94.1,82.6,96.1,,,,4.3705575066463654e-11,272.140556099384,2017-01-15,14.0,2017,1,Sunday,6,0,0,1,0,0,0
2017-01-16,,1.708785424004366,0.830177633995634,2.4768641049197218,94.1,82.6,96.1,,,,4.633742963423944e-11,269.8421743829693,2017-01-16,15.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-17,,1.7166683549168482,0.8673360600831516,2.6231748880865453,94.1,82.6,96.1,,,,4.305878558563185e-11,268.8985054459262,2017-01-17,16.0,2017,1,Tuesday,1,0,0,0,0,0,0
2017-01-18,,1.7333831562267399,0.85060146077326,2.699269560076016,94.1,82.6,96.1,,,,4.787625401286723e-11,268.5873087275932,2017-01-18,17.0,2017,1,Wednesday,2,0,0,0,0,0,0
2017-01-19,,1.725943450615461,0.8507411243845387,2.739900127691779,94.1,82.6,96.1,,,,5.4687276634168555e-11,268.48913910174497,2017-01-19,18.0,2017,1,Thursday,3,0,0,0,0,0,0
2017-01-20,,1.6554473699975363,0.7965239740024637,2.6566667187187534,94.1,82.6,96.1,,,,5.205039079652158e-11,269.8325811978286,2017-01-20,19.0,2017,1,Friday,4,0,1,0,0,0,0
2017-01-21,,1.4577062993623477,0.7081748816376523,2.534600559445493,94.1,82.6,96.1,,,,5.386311632765304e-11,270.2664898200544,2017-01-21,20.0,2017,1,Saturday,5,0,0,1,0,0,0
2017-01-22,,1.6367826765629365,0.5653174534370637,2.6121570753676164,94.1,82.6,96.1,,,,6.34554145491699e-11,268.4277284648861,2017-01-22,21.0,2017,1,Sunday,6,0,0,1,0,0,0
2017-01-23,,1.788341154019295,0.840460037980705,2.7577312903644304,94.1,82.6,96.1,,,,4.884496785839154e-11,267.69960882516,2017-01-23,22.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-24,,1.6802065019138213,0.9577471670861785,2.69165076174943,94.1,82.6,96.1,,,,3.670189156976233e-11,269.67919589364936,2017-01-24,23.0,2017,1,Tuesday,1,0,0,0,0,0,0
2017-01-25,,1.723062486876286,0.862698174123714,2.646738803900802,94.1,82.6,96.1,,,,5.5521571928897334e-11,269.8458008718317,2017-01-25,24.0,2017,1,Wednesday,2,0,0,0,0,0,0
2017-01-26,,1.7481118311931292,0.6788218068068707,2.5811721400650742,94.1,82.6,96.1,,,,6.786812325529154e-11,270.74360431778047,2017-01-26,25.0,2017,1,Thursday,3,0,0,0,0,0,0
2017-01-27,,1.6812928034669548,0.6672534435330454,2.5013887052204855,94.1,82.6,96.1,,,,6.843909126576144e-11,271.0899240873375,2017-01-27,26.0,2017,1,Friday,4,0,1,0,0,0,0
2017-01-28,,1.473270622474259,0.5466025295257412,2.360890801146277,94.1,82.6,96.1,,,,6.769707349711254e-11,271.94912609563386,2017-01-28,27.0,2017,1,Saturday,5,0,0,1,0,0,0
2017-01-29,,1.521348050648852,0.4214968733511481,2.2034800346450023,94.1,82.6,96.1,,,,6.389019789212169e-11,273.9922609745992,2017-01-29,28.0,2017,1,Sunday,6,0,0,1,0,0,0
2017-01-30,,1.596054623828158,0.6413787831718415,2.1224514140448574,94.1,82.6,96.1,,,,2.1507695242113852e-11,275.03355968157604,2017-01-30,29.0,2017,1,Monday,0,1,0,0,0,0,0
2017-01-31,,1.515969058322352,0.8193708326776483,2.066761766974066,94.1,82.6,96.1,,,,2.5246099217127664e-11,274.8642169570997,2017-01-31,30.0,2017,1,Tuesday,1,0,0,0,0,0,0
2017-02-01,,1.5738301686352885,0.6775369363647115,2.058473951472509,97.3,83.3,92.0,,,,5.053447254509482e-11,274.4254773777581,2017-02-01,31.0,2017,2,Wednesday,2,0,0,0,0,0,0
2017-02-02,,1.5558990389480256,0.5250426940519743,1.9223359756422576,97.3,83.3,92.0,,,,6.321532894924924e-11,276.5718256223677,2017-02-02,32.0,2017,2,Thursday,3,0,0,0,0,0,0
2017-02-03,,1.4751624381799073,0.5355894368200926,1.7705433227200371,97.3,83.3,92.0,,,,3.8451032541129054e-11,277.69142407007627,2017-02-03,33.0,2017,2,Friday,4,0,1,0,0,0,0
2017-02-04,,1.359197422477719,0.37747460252228093,1.6764481828720528,97.3,83.3,92.0,,,,5.835095318563583e-11,277.4902393679332,2017-02-04,34.0,2017,2,Saturday,5,0,0,1,0,0,0
2017-02-05,,1.3812788864652228,0.38148722453477707,1.7156945729633768,97.3,83.3,92.0,,,,5.255508164569028e-11,276.5963131014582,2017-02-05,35.0,2017,2,Sunday,6,0,0,1,0,0,0
2017-02-06,,1.5093020564609358,0.7103602375390641,1.906516484069366,97.3,83.3,92.0,,,,4.464545776125405e-11,274.9243229275026,2017-02-06,36.0,2017,2,Monday,0,1,0,0,0,0,0
2017-02-07,,1.492689837588149,0.7523931834118512,2.038490087122101,97.3,83.3,92.0,,,,4.230406697403775e-11,274.0966839429918,2017-02-07,37.0,2017,2,Tuesday,1,0,0,0,0,0,0
2017-02-08,,1.6378219246551748,0.7142931913448253,2.1829498958322437,97.3,83.3,92.0,,,,6.350689078861534e-11,272.75964723755993,2017-02-08,38.0,2017,2,Wednesday,2,0,0,0,0,0,0
2017-02-09,,1.588971641856244,0.7857396391437556,2.3682133144747715,97.3,83.3,92.0,,,,7.343279930169667e-11,271.00181278055953,2017-02-09,39.0,2017,2,Thursday,3,0,0,0,0,0,0
2017-02-10,,1.6078801143296921,0.6545327416703078,2.4015273151643806,97.3,83.3,92.0,,,,5.847734463722014e-11,271.49752874944784,2017-02-10,40.0,2017,2,Friday,4,0,1,0,0,0,0
