Datum;SLPsyn_H [MWh];SLPsyn_L [MWh];SLPana_H [MWh];SLPana_L [MWh];RLMmT_H [MWh];RLMmT_L [MWh];RLMoT_H [MWh];RLMoT_L [MWh]
01.10.2016;83950;36219;28397;1186;531230;76873;25034;8160
02.10.2016;103842;62285;35212;1605;522918;71926;23142;8217
03.10.2016;126190;70594;45887;1644;532320;76067;24615;8247
04.10.2016;145527;75350;48026;1896;572840;96150;26260;8382
05.10.2016;183529;94915;54931;2473;597737;103677;36835;8257
06.10.2016;188665;101626;59559;2907;627585;103594;39833;8343
07.10.2016;185266;95024;73464;2954;649214;100196;42670;8520
08.10.2016;202426;102454;81988;3585;559110;86655;37144;8496
09.10.2016;224770;113619;82298;3881;574664;86257;37798;8339
10.10.2016;246698;139213;86275;4082;680114;109537;42194;8566
11.10.2016;251601;137564;94231;3717;676405;114964;43550;8346
12.10.2016;250573;130031;97595;3893;690499;121141;45288;8337
13.10.2016;245954;129120;102380;4364;651321;115729;46254;8460
14.10.2016;239659;127614;105931;4749;634047;110423;44095;8399
15.10.2016;205879;103801;109157;4482;593024;87206;44523;8237
16.10.2016;177047;86348;103781;3867;595306;86004;44254;8085
17.10.2016;168466;79539;103029;3708;703787;105072;51923;8092
18.10.2016;166368;84342;95532;3597;691696;105507;47517;8499
19.10.2016;199487;110163;98904;4611;698519;111715;51089;7256
20.10.2016;227625;128106;93879;4639;707620;114532;47099;7640
21.10.2016;253865;143721;99530;4717;701090;111657;43981;7814
22.10.2016;272920;149403;104212;4762;618081;91250;38248;7703
23.10.2016;279157;149721;106733;5014;619095;92019;34237;7828
24.10.2016;254709;148056;107576;5074;710694;116714;37770;8085
25.10.2016;237476;147237;107765;4793;746584;121070;37979;8202
26.10.2016;256855;149234;111047;5163;723985;123438;38811;7972
27.10.2016;219110;114338;110008;4843;661326;113703;31689;8386
28.10.2016;189117;93061;113747;4557;647577;107716;33143;8524
29.10.2016;196241;94691;106595;4646;614665;91908;35540;8921
30.10.2016;201334;90820;97512;4598;594763;86198;34979;8528
31.10.2016;206640;90331;100951;4578;648078;106256;37500;8668
01.11.2016;210687;103758;105850;4286;631834;109378;34037;8872
02.11.2016;253647;128421;103665;4877;679956;121524;45201;8853
03.11.2016;308200;148342;104834;4598;733586;117642;44367;8579
04.11.2016;308888;149133;124459;5049;694437;114075;47837;8780
05.11.2016;297252;153283;133430;5247;631028;96782;49360;8581
