Kategorie: Alle Kategorien

Woche,erdgas: (Deutschland),Heizen: (Deutschland)
2021-01-03,12,15
2021-01-10,14,14
2021-01-17,13,12
2021-01-24,14,9
2021-01-31,14,10
2021-02-07,11,16
2021-02-14,13,11
2021-02-21,12,7
2021-02-28,11,7
2021-03-07,12,7
2021-03-14,11,7
2021-03-21,10,6
2021-03-28,10,7
2021-04-04,9,9
2021-04-11,11,7
2021-04-18,12,8
2021-04-25,12,7
2021-05-02,10,7
2021-05-09,10,8
2021-05-16,10,7
2021-05-23,10,6
2021-05-30,11,7
2021-06-06,10,6
2021-06-13,10,6
2021-06-20,10,5
2021-06-27,10,4
2021-07-04,10,6
2021-07-11,11,7
2021-07-18,9,5
2021-07-25,10,5
2021-08-01,9,6
2021-08-08,10,6
2021-08-15,12,6
2021-08-22,11,8
2021-08-29,12,8
2021-09-05,11,6
2021-09-12,12,8
2021-09-19,17,16
2021-09-26,15,13
2021-10-03,17,19
2021-10-10,19,27
2021-10-17,17,22
2021-10-24,19,17
2021-10-31,17,15
2021-11-07,17,19
2021-11-14,17,14
2021-11-21,16,15
2021-11-28,16,17
2021-12-05,16,15
2021-12-12,17,12
2021-12-19,17,14
2021-12-26,17,14
2022-01-02,20,13
2022-01-09,22,16
2022-01-16,21,15
2022-01-23,19,14
2022-01-30,19,14
2022-02-06,20,15
2022-02-13,18,21
2022-02-20,35,21
2022-02-27,33,23
2022-03-06,46,34
2022-03-13,28,20
2022-03-20,29,20
2022-03-27,29,26
2022-04-03,27,23
2022-04-10,18,15
2022-04-17,15,13
2022-04-24,22,15
2022-05-01,18,12
2022-05-08,16,11
2022-05-15,15,12
2022-05-22,12,8
2022-05-29,14,9
2022-06-05,13,9
2022-06-12,18,15
2022-06-19,23,27
2022-06-26,20,23
2022-07-03,23,34
2022-07-10,28,42
2022-07-17,21,25
2022-07-24,27,26
2022-07-31,23,26
2022-08-07,19,22
2022-08-14,32,27
2022-08-21,26,34
2022-08-28,27,36
2022-09-04,24,34
2022-09-11,32,55
2022-09-18,29,100
2022-09-25,32,71
2022-10-02,21,38
2022-10-09,22,33
2022-10-16,21,24
2022-10-23,17,19
2022-10-30,16,26
2022-11-06,15,29
