Monat;Originalwert;Kalender- und saisonbereinigt nach X13 JDemetra+
01.01.2010;73,6;84,1
01.02.2010;79,2;83,5
01.03.2010;96,7;86,1
01.04.2010;87,2;87,7
01.05.2010;86,5;90,4
01.06.2010;95,6;90,3
01.07.2010;90,1;89,6
01.08.2010;84,9;91,1
01.09.2010;99,5;92,4
01.10.2010;97,7;94,4
01.11.2010;101,5;93,9
01.12.2010;93,2;95,4
01.01.2011;86;95,2
01.02.2011;92,8;96,3
01.03.2011;107,6;96,9
01.04.2011;93,7;97,4
01.05.2011;104,9;98,7
01.06.2011;96;97,1
01.07.2011;97,2;100,1
01.08.2011;95,2;99,4
01.09.2011;105,2;97,7
01.10.2011;98,5;99
01.11.2011;106,1;98,1
01.12.2011;94,5;96,9
01.01.2012;90,8;97,3
01.02.2012;95,8;97,2
01.03.2012;107,1;98,3
01.04.2012;92,8;96,6
01.05.2012;97,7;98,5
01.06.2012;99,5;97,2
01.07.2012;99,1;98,5
01.08.2012;94,2;98,4
01.09.2012;97,4;97,2
01.10.2012;102,2;95,9
01.11.2012;102,9;95,2
01.12.2012;85,6;95,9
01.01.2013;89,8;94,9
01.02.2013;90,9;95,6
01.03.2013;98,3;96,9
01.04.2013;100,1;97,1
01.05.2013;93,4;96,6
01.06.2013;99,5;98,1
01.07.2013;100,6;96,4
01.08.2013;91,4;98,7
01.09.2013;101,8;98,2
01.10.2013;103,9;97,5
01.11.2013;104;99,7
01.12.2013;90,9;99,9
01.01.2014;92,6;99,3
01.02.2014;96,1;99,4
01.03.2014;103,6;99,8
01.04.2014;99;99,5
01.05.2014;97,7;98,6
01.06.2014;97,5;98,7
01.07.2014;105,1;100,7
01.08.2014;86,8;96,8
01.09.2014;106,5;99,1
01.10.2014;105,6;99,3
01.11.2014;102,7;99,4
01.12.2014;94;101,1
01.01.2015;88,4;98,4
01.02.2015;94,4;99,3
01.03.2015;108,7;99,2
01.04.2015;99,5;100,1
01.05.2015;92,9;100,5
01.06.2015;106,3;100,2
01.07.2015;105,9;101,6
01.08.2015;89,3;99
01.09.2015;106,7;99,2
01.10.2015;106,6;100,3
01.11.2015;105,9;99
01.12.2015;95,1;99,9
01.01.2016;87,7;101,2
01.02.2016;100;101,2
01.03.2016;105,9;100,2
01.04.2016;104,1;101
01.05.2016;96;99
01.06.2016;110,3;101,2
01.07.2016;96,5;99,6
01.08.2016;97,5;101,3
01.09.2016;108,7;101
01.10.2016;100;101,7
01.11.2016;110;101,4
01.12.2016;96,7;99,5
01.01.2017;94,1;100,9
01.02.2017;97,3;102,1
01.03.2017;115,6;101,6
01.04.2017;95,2;103,1
01.05.2017;106,6;103,3
01.06.2017;105,7;103,4
01.07.2017;100,7;104,1
01.08.2017;102,2;106,3
01.09.2017;109,2;105,3
01.10.2017;102,2;103,8
01.11.2017;116,6;107,5
01.12.2017;100;107
01.01.2018;100,9;106,5
01.02.2018;99,6;104,6
01.03.2018;112;105,9
01.04.2018;104,6;105,3
01.05.2018;103,7;107,1
01.06.2018;112,1;106,9
01.07.2018;104,9;104,6
01.08.2018;101,5;105,6
01.09.2018;104,9;104,9
01.10.2018;110,3;104,9
01.11.2018;111,6;102,9
01.12.2018;93,4;103,8
01.01.2019;98,4;103,6
01.02.2019;100,3;103,6
01.03.2019;108,8;104,3
01.04.2019;102,1;102,7
01.05.2019;106,7;103,4
01.06.2019;97,2;102,5
01.07.2019;105,8;101,9
01.08.2019;94,6;102,1
01.09.2019;105,1;101,3
01.10.2019;105,8;100,6
01.11.2019;105,4;100,7
01.12.2019;90,2;98,5
01.01.2020;95,1;101,5
01.02.2020;98,1;102,8
01.03.2020;100,5;91,5
01.04.2020;70,5;71
01.05.2020;76,5;79,8
01.06.2020;91,2;89,5
01.07.2020;94,9;91,6
01.08.2020;81,8;90,7
01.09.2020;100,7;93,6
01.10.2020;102,8;97,1
01.11.2020;105,7;98,5
01.12.2020;94;98,6
01.01.2021;85,8;98,1
01.02.2021;93,9;96,9
01.03.2021;112,2;98,4
01.04.2021;97,2;98
01.05.2021;93;97
01.06.2021;101,7;96,2
01.07.2021;97,4;97,4
01.08.2021;86,9;92,9
01.09.2021;99,6;92,7
01.10.2021;97,8;95,9
01.11.2021;104,8;96,6
01.12.2021;95,2;97,8
01.01.2022;89,1;98,1
01.02.2022;95;98,2
01.03.2022;106,6;93,5
01.04.2022;90,9;95
01.05.2022;98,6;95,5
01.06.2022;98,6;96,9
01.07.2022;92,6;96,3
01.08.2022;91,8;95,8
01.09.2022;104,4;96,6
01.10.2022;94;
01.11.2022;105,5;
01.12.2022;93,1;
