DayOfUse;HGasSLPsyn;UnitHGasSLPsyn;HGasSLPana;UnitHGasSLPana;LGasSLPsyn;UnitLGasSLPsyn;LGasSLPana;UnitLGasSLPana;HGasRLMmT;UnitHGasRLMmT;LGasRLMmT;UnitLGasRLMmT;HGasRLMoT;UnitHGasRLMoT;LGasRLMoT;UnitLGasRLMoT;Status
01.04.2011;257675256;kWh;46765704;kWh;82081032;kWh;51595032;kWh;196575072;kWh;114242736;kWh;346186257;kWh;138841871;kWh;final
02.04.2011;205896072;kWh;47067624;kWh;62495592;kWh;50723520;kWh;144448008;kWh;87985704;kWh;299064161;kWh;109296722;kWh;final
03.04.2011;193995720;kWh;41165208;kWh;81119784;kWh;44920824;kWh;149170560;kWh;97377120;kWh;300916604;kWh;116462879;kWh;final
04.04.2011;265378992;kWh;32022120;kWh;105843984;kWh;31238232;kWh;218356464;kWh;124870080;kWh;416981886;kWh;139535245;kWh;final
05.04.2011;290884776;kWh;34177176;kWh;113599176;kWh;37847952;kWh;214760040;kWh;126620448;kWh;405457169;kWh;138663890;kWh;final
06.04.2011;228481608;kWh;45608184;kWh;83526912;kWh;46336032;kWh;199727976;kWh;114654048;kWh;396343253;kWh;133798538;kWh;final
07.04.2011;196793088;kWh;45742008;kWh;85494024;kWh;50658576;kWh;193662432;kWh;114942792;kWh;381637750;kWh;128042360;kWh;final
08.04.2011;246196704;kWh;34180272;kWh;101603472;kWh;36736368;kWh;200207568;kWh;113073288;kWh;367149614;kWh;123330885;kWh;final
09.04.2011;250854888;kWh;30612360;kWh;106472976;kWh;33609168;kWh;168272328;kWh;94384560;kWh;298858679;kWh;99982123;kWh;final
10.04.2011;259362432;kWh;35473560;kWh;109546536;kWh;35868768;kWh;171423528;kWh;95217696;kWh;304877491;kWh;94331683;kWh;final
11.04.2011;227122224;kWh;34675392;kWh;87398232;kWh;36181080;kWh;196421688;kWh;111327168;kWh;372355418;kWh;125278006;kWh;final
12.04.2011;326646888;kWh;34782600;kWh;123984408;kWh;33618960;kWh;224683680;kWh;126017160;kWh;407558821;kWh;137420942;kWh;final
13.04.2011;406027680;kWh;31534920;kWh;150246504;kWh;27816120;kWh;235496568;kWh;129003024;kWh;418246367;kWh;146060514;kWh;final
14.04.2011;437738664;kWh;49159584;kWh;164033808;kWh;44978688;kWh;232783536;kWh;127061904;kWh;439450596;kWh;134524819;kWh;final
15.04.2011;439603704;kWh;57708192;kWh;156933192;kWh;48723672;kWh;218636016;kWh;118696152;kWh;415947263;kWh;136591994;kWh;final
16.04.2011;388095096;kWh;53452968;kWh;137407512;kWh;49632168;kWh;167184192;kWh;94047048;kWh;338832172;kWh;107058570;kWh;final
17.04.2011;336872232;kWh;50980368;kWh;122231856;kWh;45633216;kWh;165873864;kWh;96097824;kWh;312855203;kWh;101725017;kWh;final
18.04.2011;289043688;kWh;45110400;kWh;102074376;kWh;38449080;kWh;206948352;kWh;115417368;kWh;370863356;kWh;116999492;kWh;final
19.04.2011;236155968;kWh;39515760;kWh;78395712;kWh;37966608;kWh;195346608;kWh;111346368;kWh;377177397;kWh;114295879;kWh;final
20.04.2011;195008904;kWh;34159584;kWh;65578656;kWh;32076192;kWh;188405016;kWh;107632872;kWh;371676110;kWh;113411779;kWh;final
21.04.2011;160060776;kWh;29365248;kWh;54860280;kWh;25880448;kWh;172773936;kWh;96370536;kWh;340459815;kWh;111809283;kWh;final
22.04.2011;134389944;kWh;25236600;kWh;46917912;kWh;22614216;kWh;123443832;kWh;74106048;kWh;242503331;kWh;88978181;kWh;final
23.04.2011;125123016;kWh;21627816;kWh;42446256;kWh;19224168;kWh;115915536;kWh;65888208;kWh;226285415;kWh;95143556;kWh;final
