time,solar [J/m^2]
2017-01-01,138525.75840301948
2017-01-02,99815.15623810656
2017-01-03,81978.50032268374
2017-01-04,86818.19880221957
2017-01-05,158841.73639598707
2017-01-06,170313.2631832123
2017-01-07,90135.46159560168
2017-01-08,65383.29395386563
2017-01-09,89829.7880655697
2017-01-10,112947.45486412178
2017-01-11,79476.20026902847
2017-01-12,114644.93656027898
2017-01-13,114202.03558000427
2017-01-14,138625.2690423161
2017-01-15,157339.94436731364
2017-01-16,166814.6132315714
2017-01-17,155011.50409907138
2017-01-18,172354.37656282078
2017-01-19,196874.03838377612
2017-01-20,187381.2569624721
2017-01-21,193907.06365390003
2017-01-22,228439.3096255639
2017-01-23,175841.74361681464
2017-01-24,132126.70394978122
2017-01-25,199877.49904203115
2017-01-26,244325.04825901098
2017-01-27,246380.531452316
2017-01-28,243709.26962218943
2017-01-29,230004.52840801535
2017-01-30,77427.64092949712
2017-01-31,90885.884472952
2017-02-01,181923.95562317685
2017-02-02,227575.0021572955
2017-02-03,138423.60640917943
2017-02-04,210063.26341767827
2017-02-05,189198.14256597098
2017-02-06,160723.5193616991
2017-02-07,152294.51927092046
2017-02-08,228624.62393931605
2017-02-09,264357.8659998152
2017-02-10,210518.27227937468
2017-02-11,284491.4437750362
2017-02-12,317558.32310194307
2017-02-13,363050.73686212813
2017-02-14,385057.4425148485
2017-02-15,382984.5233835997
2017-02-16,336565.5424018372
2017-02-17,175921.1817176711
2017-02-18,186384.03698346927
2017-02-19,272355.79599127016
2017-02-20,119087.6829171714
2017-02-21,171381.02078230053
2017-02-22,93130.06695320061
2017-02-23,179032.2604444432
2017-02-24,353026.99878236983
2017-02-25,358423.31371328124
2017-02-26,219530.97032789665
2017-02-27,348574.7985541543
2017-02-28,302505.1362790903
2017-03-01,289182.6959618768
2017-03-02,343746.42582024256
2017-03-03,366507.58391083847
2017-03-04,410632.37211251754
2017-03-05,364735.2803686327
2017-03-06,304934.09625172085
2017-03-07,292961.8690335458
2017-03-08,209962.1414642149
2017-03-09,205432.31161295087
2017-03-10,425824.59037799994
2017-03-11,499270.44562532706
2017-03-12,573816.1678161857
2017-03-13,538602.1734448583
2017-03-14,466295.1126294036
2017-03-15,440678.10175722785
2017-03-16,610272.3451690663
2017-03-17,382172.70213933574
2017-03-18,153500.7120702946
2017-03-19,134595.22594248966
2017-03-20,215661.67003554638
2017-03-21,326850.4434740024
2017-03-22,430278.64298489044
2017-03-23,457763.7735934907
2017-03-24,618390.1615577877
2017-03-25,703107.6218279157
2017-03-26,671511.3271129592
2017-03-27,753229.4142824489
2017-03-28,745020.2048106416
2017-03-29,486121.42623381014
2017-03-30,551328.3545206705
2017-03-31,721337.4845276475
2017-04-01,636669.404969914
2017-04-02,551500.1117007119
2017-04-03,567987.9200771591
2017-04-04,547999.6934856568
2017-04-05,490105.7320316511
2017-04-06,507979.45882771164
2017-04-07,425297.89300666476
2017-04-08,499798.44268996787
2017-04-09,842994.4453821826
2017-04-10,718506.1430702388
2017-04-11,586739.8242704669
2017-04-12,527272.7718638219
2017-04-13,579979.854573134
2017-04-14,523533.251454706
2017-04-15,448811.6205408328
2017-04-16,610313.1488584979
2017-04-17,569507.448904277
2017-04-18,711976.1320173376
2017-04-19,730395.9158342077
2017-04-20,821468.3745329347
2017-04-21,633868.7632757706
2017-04-22,593053.1676897603
2017-04-23,701260.8062021817
2017-04-24,809041.002791062
2017-04-25,632520.6666947586
2017-04-26,671719.0735558078
2017-04-27,782717.8632130687
2017-04-28,720437.3647133866
2017-04-29,754735.9982577417
2017-04-30,1012453.8872369803
2017-05-01,508145.9156358109
2017-05-02,466509.62387063535
2017-05-03,601218.0859753398
2017-05-04,457594.61127399886
2017-05-05,383057.16608217027
2017-05-06,723313.5279321466
2017-05-07,497339.10502377915
2017-05-08,364830.0478942238
2017-05-09,742281.2078531863
2017-05-10,912821.0580320285
2017-05-11,968909.3437199934
2017-05-12,759195.4908604957
2017-05-13,832486.6949060225
2017-05-14,814503.547055419
2017-05-15,930002.9531561473
2017-05-16,752377.5143840105
2017-05-17,1027246.2828672914
2017-05-18,828162.1793425452
2017-05-19,526273.572716352
2017-05-20,748236.3567677649
2017-05-21,827041.0861930116
2017-05-22,914658.554707747
2017-05-23,925854.6146902622
2017-05-24,660808.232172113
2017-05-25,785337.9932302517
2017-05-26,1085709.3113638654
2017-05-27,1163459.103252705
2017-05-28,1007514.7226085532
2017-05-29,1033144.7951495821
2017-05-30,875053.6669716066
2017-05-31,917140.2544590835
2017-06-01,1001643.8938777354
2017-06-02,975512.852190855
2017-06-03,826141.4620349159
2017-06-04,628643.1257821851
2017-06-05,780633.4813529238
2017-06-06,726050.9628882044
2017-06-07,869793.2684369255
2017-06-08,800522.7026681564
2017-06-09,799986.0071530124
2017-06-10,937248.4027582229
2017-06-11,1084298.7733652054
2017-06-12,833541.7734200441
2017-06-13,821333.8000593367
2017-06-14,1053013.8560918493
2017-06-15,1016863.0240589449
2017-06-16,847563.1680937085
2017-06-17,582470.4758469965
2017-06-18,924076.0842943637
2017-06-19,1141086.0732614652
2017-06-20,1042262.5733709806
2017-06-21,1094601.9018482037
2017-06-22,935334.4244288759
2017-06-23,798834.2488186053
2017-06-24,722875.0587643165
2017-06-25,538202.0178439635
2017-06-26,863190.1601559473
2017-06-27,698569.1198929973
2017-06-28,627044.9407009449
2017-06-29,502118.8130600426
2017-06-30,707061.237424875
2017-07-01,479596.6509987185
2017-07-02,461060.2557351573
2017-07-03,906302.949312382
2017-07-04,839574.335676626
2017-07-05,911247.5277655177
2017-07-06,1049073.3938167274
2017-07-07,937689.3405537588
2017-07-08,913842.0834936813
2017-07-09,880340.9039887938
2017-07-10,641492.8153575184
2017-07-11,779995.9988777847
2017-07-12,422548.55101206386
2017-07-13,896685.5608306993
2017-07-14,789176.5482566152
2017-07-15,734214.342781709
2017-07-16,578311.7270945829
2017-07-17,755223.004682064
2017-07-18,997166.7736874752
2017-07-19,1022661.8942854931
2017-07-20,697258.3019684885
2017-07-21,921826.6785755833
2017-07-22,803973.8959068569
2017-07-23,747561.6958416161
2017-07-24,536620.478717728
2017-07-25,312654.9048961991
2017-07-26,410679.91780009656
2017-07-27,524993.4526977544
2017-07-28,720891.3988625039
2017-07-29,698581.5978325476
2017-07-30,867292.7823079961
2017-07-31,866304.8822870316
2017-08-01,733491.474176053
2017-08-02,734632.6218913157
2017-08-03,661031.5727445737
2017-08-04,677421.3531419212
2017-08-05,594332.2342787647
2017-08-06,764444.3780979492
2017-08-07,958408.2233506329
2017-08-08,665169.9443023017
2017-08-09,706918.6474286276
2017-08-10,349024.9357785023
2017-08-11,225270.4536902474
2017-08-12,347239.0049628863
2017-08-13,619990.8243563733
2017-08-14,792744.2809579858
2017-08-15,796715.8693166352
2017-08-16,689181.2089010408
2017-08-17,624463.5978205588
2017-08-18,505750.6031624248
2017-08-19,679381.8161235418
2017-08-20,713774.4079479976
2017-08-21,640807.2489981214
2017-08-22,752818.1761950655
2017-08-23,882270.370521339
2017-08-24,638866.6528407704
2017-08-25,766666.6501892791
2017-08-26,677314.6106721297
2017-08-27,716644.2465711134
2017-08-28,765043.8218313912
2017-08-29,845214.4435820254
2017-08-30,672110.0806959791
2017-08-31,358563.84043188766
2017-09-01,464320.50425239763
2017-09-02,583325.7504785844
2017-09-03,629717.1636510917
2017-09-04,682004.4741570303
2017-09-05,529209.0022061346
2017-09-06,449486.66841936857
2017-09-07,477976.8230724864
2017-09-08,312363.10974115547
2017-09-09,316968.18277139775
2017-09-10,468767.8022758332
2017-09-11,444235.29509782564
2017-09-12,480658.0362717102
2017-09-13,342293.23092326743
2017-09-14,375819.92363776424
2017-09-15,494371.42486950505
2017-09-16,489267.0238426721
2017-09-17,575412.117152524
2017-09-18,508730.1049268462
2017-09-19,420503.99544349377
2017-09-20,418908.9833410198
2017-09-21,505210.3046910213
2017-09-22,510681.3991742263
2017-09-23,441136.7965652077
2017-09-24,405862.31559727393
2017-09-25,390341.86648411857
2017-09-26,448200.6114801091
2017-09-27,475181.46058258973
2017-09-28,361034.6794895185
2017-09-29,415184.68272753106
2017-09-30,336518.09954349714
2017-10-01,377617.7818649448
2017-10-02,200668.5231118965
2017-10-03,352705.0667395307
2017-10-04,302159.58545634145
2017-10-05,242021.49649500838
2017-10-06,332955.32384095574
2017-10-07,209248.46100141807
2017-10-08,248597.23561285844
2017-10-09,270057.6254014123
2017-10-10,210737.57293617306
2017-10-11,240702.79911450486
2017-10-12,317550.45914695645
2017-10-13,296923.2236491348
2017-10-14,377293.10587722104
2017-10-15,430038.9124295902
2017-10-16,430186.9630016825
2017-10-17,396623.256417034
2017-10-18,388189.3911818769
2017-10-19,369657.4946882315
2017-10-20,269970.3334077269
2017-10-21,177865.3782173677
2017-10-22,218671.5821345899
2017-10-23,164079.28803912908
2017-10-24,110672.32363724918
2017-10-25,192101.87663620993
2017-10-26,207428.52242200452
2017-10-27,244545.1986768215
2017-10-28,122503.65098519495
2017-10-29,214385.10119613333
2017-10-30,256920.45741002224
2017-10-31,208128.4311745777
2017-11-01,179124.062070403
2017-11-02,222058.19939482262
2017-11-03,162746.8378504192
2017-11-04,241183.15114883427
2017-11-05,113828.24435082781
2017-11-06,181458.5157175225
2017-11-07,131159.92142490981
2017-11-08,96095.56673655885
2017-11-09,99888.14994851446
2017-11-10,67823.35619940612
2017-11-11,98399.29282625839
2017-11-12,81353.92277513153
2017-11-13,177508.9980500162
2017-11-14,128627.59533958991
2017-11-15,121357.70349138604
2017-11-16,130538.70735823196
2017-11-17,125454.00955280858
2017-11-18,131532.10361537748
2017-11-19,154968.84990205945
2017-11-20,80939.75183275234
2017-11-21,36501.50171820014
2017-11-22,155169.48675146216
2017-11-23,164410.2377691201
2017-11-24,111236.58487829207
2017-11-25,80037.35694688967
2017-11-26,129828.9242230148
2017-11-27,86281.51153675054
2017-11-28,107308.3105900568
2017-11-29,129103.4659054405
2017-11-30,106375.81056271394
2017-12-01,125733.11953729969
2017-12-02,127513.8445939544
2017-12-03,85442.8189729807
2017-12-04,74264.17075344587
2017-12-05,58487.67900872605
2017-12-06,101843.52191419942
2017-12-07,151490.96551262462
2017-12-08,111757.28173938493
2017-12-09,118457.65851623983
2017-12-10,66257.85548247946
2017-12-11,40397.886331506656
2017-12-12,98955.78468681098
2017-12-13,113809.81166039553
2017-12-14,106765.52401383394
2017-12-15,94304.4479470582
2017-12-16,105797.54290668659
2017-12-17,107303.8991218828
2017-12-18,87565.26363727586
2017-12-19,61939.38149031081
2017-12-20,43996.8116216308
2017-12-21,31229.595270039175
2017-12-22,34431.57041093973
2017-12-23,45875.233902868196
2017-12-24,55037.674628104105
2017-12-25,94159.85991576397
2017-12-26,110606.8076531458
2017-12-27,80419.53046478618
2017-12-28,89992.57995683221
2017-12-29,141148.71253070488
2017-12-30,42473.1382246509
2017-12-31,62030.91732261453
2018-01-01,128890.78789458024
2018-01-02,98300.54662527442
2018-01-03,82710.86913017694
2018-01-04,43362.21146937805
2018-01-05,80599.68536733474
2018-01-06,100634.79146204173
2018-01-07,98297.79246489452
2018-01-08,144929.83199261446
2018-01-09,123338.20446034959
2018-01-10,144854.93114159445
2018-01-11,97810.03555319115
2018-01-12,65321.84281211081
2018-01-13,105982.18078629965
2018-01-14,162865.198792262
2018-01-15,118380.46373847873
2018-01-16,107665.75051880274
2018-01-17,139200.06554999188
2018-01-18,84947.09928791909
2018-01-19,152478.7594799881
2018-01-20,118428.38121954375
2018-01-21,157698.94534546704
2018-01-22,59329.32531526902
2018-01-23,132961.34315146535
2018-01-24,115464.37403640182
2018-01-25,115343.51719057006
2018-01-26,123935.87724186441
2018-01-27,130753.23044397026
2018-01-28,75933.05385487388
2018-01-29,94400.04186507857
2018-01-30,155958.1983697022
2018-01-31,90193.03077488294
2018-02-01,190419.89858543777
2018-02-02,174179.97692247573
2018-02-03,191855.38495824797
2018-02-04,204677.12733563103
2018-02-05,270111.85469594406
2018-02-06,249726.8867353549
2018-02-07,264438.99685254873
2018-02-08,251868.0852126665
2018-02-09,254331.0665681987
2018-02-10,164682.10609778253
2018-02-11,146561.30543497804
2018-02-12,275879.9270535431
2018-02-13,357451.0449505052
2018-02-14,383267.31830969796
2018-02-15,120868.0049500777
2018-02-16,282520.2144088016
2018-02-17,172088.3735681921
2018-02-18,320524.69871093455
2018-02-19,316360.0882549575
2018-02-20,326587.78638517595
2018-02-21,385252.8770621086
2018-02-22,345547.1188940253
2018-02-23,391136.03850527195
2018-02-24,419003.7078737566
2018-02-25,448161.7385830553
2018-02-26,368030.8920753609
2018-02-27,415761.7514930432
2018-02-28,474952.4722544525
2018-03-01,457836.8502476145
2018-03-02,442785.7412142793
2018-03-03,436933.7695066878
2018-03-04,472097.64006980165
2018-03-05,456600.75546228833
2018-03-06,391933.7851187345
2018-03-07,356907.3090637386
2018-03-08,392837.21795759635
2018-03-09,345690.02442843135
2018-03-10,239565.48000535372
2018-03-11,416389.68793986615
2018-03-12,290326.5470811064
2018-03-13,232048.47812834164
2018-03-14,318059.14804879227
2018-03-15,435426.2286617776
2018-03-16,241088.20438263877
2018-03-17,339151.78413074074
2018-03-18,467710.1511074361
2018-03-19,594649.4498153006
2018-03-20,512841.3566797676
2018-03-21,569150.7320756419
2018-03-22,247082.98534475642
2018-03-23,225948.7972277858
2018-03-24,523110.2283683867
2018-03-25,593479.2762074396
2018-03-26,465803.4148348219
2018-03-27,532754.4848130537
2018-03-28,211359.1664041884
2018-03-29,527880.4660136342
2018-03-30,612702.2193320376
2018-03-31,425143.88469099
2018-04-01,424823.0862352939
2018-04-02,556698.7796986599
2018-04-03,678377.2078770322
2018-04-04,567647.0197443863
2018-04-05,549313.6297966136
2018-04-06,850595.264903288
2018-04-07,855715.556468606
2018-04-08,825793.9962471869
